what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1302535027570
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1302535027570
java.runtime.version,sysinfo,,,"1.5.0_14-b03",1302535027570
java.specification.name,sysinfo,,,"Java Platform API Specification",1302535027570
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302535027570
java.specification.version,sysinfo,,,"1.5",1302535027570
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1302535027570
java.version,sysinfo,,,"1.5.0_14",1302535027570
java.vm.info,sysinfo,,,"mixed mode",1302535027570
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1302535027570
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302535027570
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302535027570
java.vm.specification.version,sysinfo,,,"1.0",1302535027570
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1302535027570
java.vm.version,sysinfo,,,"1.5.0_14-b03",1302535027570
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302535028524
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302535047820
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302535048086
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302535049024
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302535049117
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1302535049492
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1302535049492
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1302535049492
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1302535049508
